2024-04-22 11:06:27.738565|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/10A.pdf | pdf_name = 10A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/2A.pdf | pdf_name = 2A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/1B.pdf | pdf_name = 1B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/10B.pdf | pdf_name = 10B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/11C.pdf | pdf_name = 11C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/2C.pdf | pdf_name = 2C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/5B.pdf | pdf_name = 5B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/7B.pdf | pdf_name = 7B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/37B.pdf | pdf_name = 37B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/7A.pdf | pdf_name = 7A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/4A.pdf | pdf_name = 4A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/3B.pdf | pdf_name = 3B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/4D.pdf | pdf_name = 4D.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/8A.pdf | pdf_name = 8A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/8B.pdf | pdf_name = 8B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/2B.pdf | pdf_name = 2B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/1A.pdf | pdf_name = 1A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/4C.pdf | pdf_name = 4C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/11B.pdf | pdf_name = 11B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/9B.pdf | pdf_name = 9B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/6C.pdf | pdf_name = 6C.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/6A.pdf | pdf_name = 6A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/5A.pdf | pdf_name = 5A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/3A.pdf | pdf_name = 3A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/4B.pdf | pdf_name = 4B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/6B.pdf | pdf_name = 6B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/11A.pdf | pdf_name = 11A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/12B.pdf | pdf_name = 12B.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/9A.pdf | pdf_name = 9A.pdf|2024-04-22 11:06:27.738565 | 
[-]get_gemini_response | 'int' object is not iterable  |dir_path =  images/Datasets/Dengue/Dengue/ | pdf_path = images/Datasets/Dengue/Dengue/37A.pdf | pdf_name = 37A.pdf|2024-04-22 11:06:27.738565 | 
